gene_id,P1_gene_name,P1_copy_number,P2_copy_number,P3_copy_number,P4_copy_number,P5_copy_number,P6_copy_number,P7_copy_number,P8_copy_number,P9_copy_number,P10_copy_number,P11_copy_number,P12_copy_number,P13_copy_number,P14_copy_number,P15_copy_number,P16_copy_number,P17_copy_number,P18_copy_number,P19_copy_number,P20_copy_number,P21_copy_number,P22_copy_number,P23_copy_number,P24_copy_number,P25_copy_number,P26_copy_number,P27_copy_number,P28_copy_number,P29_copy_number,P30_copy_number,P31_copy_number,P32_copy_number,P33_copy_number,P34_copy_number,P35_copy_number,P36_copy_number,P37_copy_number,P38_copy_number,P39_copy_number,P40_copy_number
ENSG00000115266.12,APC2,0.0,0.4054651081081644,-0.6931471805599453,0.6931471805599453,0.6931471805599453,0.4054651081081644,0.9162907318741551,0.0,1.0986122886681098,0.0,0.6931471805599453,0.4054651081081644,0.0,0.4054651081081644,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054651081081644,0.6931471805599453,0.4054651081081644,0.0,0.4054651081081644,0.0,0.4054651081081644,0.0,0.0,0.0,0.6931471805599453,0.4054651081081644,0.6931471805599453,0.6931471805599453,0.0
ENSG00000104976.12,SNAPC2,0.0,0.4054651081081644,-0.6931471805599453,1.252762968495368,0.6931471805599453,0.4054651081081644,0.9162907318741551,0.0,1.0986122886681098,0.0,0.6931471805599453,0.4054651081081644,0.0,0.4054651081081644,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054651081081644,0.6931471805599453,0.4054651081081644,0.0,0.4054651081081644,0.0,0.4054651081081644,0.0,0.4054651081081644,0.0,0.6931471805599453,0.4054651081081644,0.4054651081081644,0.6931471805599453,0.0
ENSG00000198768.11,APCDD1L,0.0,0.0,2.1400661634962708,0.9162907318741551,0.4054651081081644,0.4054651081081644,0.6931471805599453,2.70805020110221,1.0986122886681098,0.0,0.6931471805599453,0.4054651081081644,0.0,0.0,0.0,0.4054651081081644,1.0986122886681098,0.0,0.0,1.252762968495368,0.0,0.0,0.4054651081081644,0.0,0.0,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.252762968495368,0.6931471805599453,0.6931471805599453,0.0,0.9162907318741551,1.0986122886681098,0.9162907318741551,0.6931471805599453,0.0
ENSG00000231290.6,APCDD1L-DT,0.0,0.0,2.1400661634962708,0.9162907318741551,0.4054651081081644,0.4054651081081644,0.6931471805599453,2.70805020110221,1.0986122886681098,0.0,0.6931471805599453,0.4054651081081644,0.0,0.0,0.0,0.4054651081081644,1.0986122886681098,0.0,0.0,1.252762968495368,0.0,0.0,0.4054651081081644,0.0,0.0,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.252762968495368,0.6931471805599453,0.6931471805599453,0.0,0.9162907318741551,1.0986122886681098,0.9162907318741551,0.6931471805599453,0.0
ENSG00000231619.1,ANAPC15P1,0.0,0.0,0.4054651081081644,0.6931471805599453,-0.6931471805599453,0.4054651081081644,0.0,0.0,0.9162907318741551,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054651081081644,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000155760.2,FZD7,0.0,0.4054651081081644,0.0,0.6931471805599453,0.4054651081081644,0.0,0.4054651081081644,0.0,1.0986122886681098,0.0,0.4054651081081644,0.4054651081081644,0.0,0.0,0.0,0.4054651081081644,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054651081081644,0.4054651081081644,0.6931471805599453,0.4054651081081644,0.4054651081081644,-0.6931471805599453,0.4054651081081644,0.6931471805599453,0.4054651081081644,0.0,0.4054651081081644,0.4054651081081644,0.4054651081081644,0.4054651081081644,0.0
ENSG00000163251.4,FZD5,0.0,0.4054651081081644,0.0,0.6931471805599453,0.4054651081081644,0.0,0.4054651081081644,0.0,1.0986122886681098,0.0,0.4054651081081644,0.4054651081081644,0.0,0.0,0.0,0.4054651081081644,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054651081081644,0.4054651081081644,0.6931471805599453,0.4054651081081644,0.4054651081081644,-0.6931471805599453,0.4054651081081644,0.6931471805599453,0.4054651081081644,0.0,0.4054651081081644,0.4054651081081644,0.4054651081081644,0.4054651081081644,0.0
ENSG00000188763.5,FZD9,0.0,0.4054651081081644,0.4054651081081644,0.4054651081081644,0.9162907318741551,0.0,0.6931471805599453,0.0,1.0986122886681098,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,-0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.4054651081081644,0.6931471805599453,0.9162907318741551,0.0,0.6931471805599453,0.4054651081081644,0.9162907318741551,0.0,0.9162907318741551,0.4054651081081644,0.4054651081081644,0.6931471805599453,0.0
ENSG00000157240.4,FZD1,0.0,0.4054651081081644,0.4054651081081644,0.9162907318741551,1.252762968495368,0.4054651081081644,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,-0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.4054651081081644,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.4054651081081644,0.9162907318741551,0.0,0.9162907318741551,0.4054651081081644,0.4054651081081644,0.6931471805599453,0.0
ENSG00000104290.11,FZD3,-0.6931471805599453,-0.6931471805599453,0.0,-0.6931471805599453,0.0,-0.6931471805599453,-0.6931471805599453,1.0986122886681098,0.0,-0.6931471805599453,0.6931471805599453,0.4054651081081644,0.0,-0.6931471805599453,-0.6931471805599453,0.4054651081081644,0.6931471805599453,-0.6931471805599453,-0.6931471805599453,0.9162907318741551,-0.6931471805599453,0.4054651081081644,0.0,0.0,-0.6931471805599453,0.0,0.6931471805599453,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,-0.6931471805599453,-0.6931471805599453,0.0
ENSG00000164930.12,FZD6,0.4054651081081644,0.4054651081081644,0.9162907318741551,1.3862943611198906,1.3862943611198906,1.0986122886681098,1.252762968495368,1.0986122886681098,1.6094379124341003,0.6931471805599453,0.6931471805599453,0.4054651081081644,0.0,0.0,0.4054651081081644,0.4054651081081644,0.6931471805599453,0.4054651081081644,0.9162907318741551,0.9162907318741551,0.0,0.4054651081081644,0.0,0.0,-0.6931471805599453,0.4054651081081644,0.6931471805599453,0.4054651081081644,1.7047480922384253,0.4054651081081644,0.0,1.0986122886681098,1.9459101490553132,0.4054651081081644,0.0,0.6931471805599453,1.252762968495368,1.3862943611198906,1.252762968495368,0.0
ENSG00000177283.7,FZD8,0.0,0.0,0.9162907318741551,0.6931471805599453,0.4054651081081644,0.4054651081081644,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.0,0.6931471805599453,0.4054651081081644,0.0,0.0,0.0,0.4054651081081644,0.6931471805599453,0.4054651081081644,0.4054651081081644,0.6931471805599453,0.0,0.0,0.0,0.0,-0.6931471805599453,0.4054651081081644,0.4054651081081644,0.6931471805599453,0.4054651081081644,0.6931471805599453,0.0,0.4054651081081644,0.4054651081081644,0.6931471805599453,0.0,0.6931471805599453,0.4054651081081644,0.6931471805599453,0.6931471805599453,0.0
ENSG00000174804.4,FZD4,-0.6931471805599453,0.0,0.4054651081081644,0.6931471805599453,0.0,0.0,0.4054651081081644,0.6931471805599453,1.0986122886681098,0.0,0.6931471805599453,-0.6931471805599453,-0.6931471805599453,1.0986122886681098,-0.6931471805599453,-0.6931471805599453,0.6931471805599453,-0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,-0.6931471805599453,0.0,-0.6931471805599453,0.6931471805599453,0.6931471805599453,0.4054651081081644,0.4054651081081644,0.4054651081081644,-0.6931471805599453,0.0,0.0,0.4054651081081644,-0.6931471805599453,0.6931471805599453,0.0,0.4054651081081644,0.4054651081081644,0.0
ENSG00000246523.8,FZD4-DT,-0.6931471805599453,0.0,0.4054651081081644,0.6931471805599453,0.0,0.0,0.4054651081081644,0.6931471805599453,1.0986122886681098,0.0,0.6931471805599453,-0.6931471805599453,-0.6931471805599453,1.0986122886681098,-0.6931471805599453,-0.6931471805599453,0.6931471805599453,-0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,-0.6931471805599453,0.0,-0.6931471805599453,0.6931471805599453,0.6931471805599453,0.4054651081081644,0.4054651081081644,0.4054651081081644,-0.6931471805599453,0.0,0.0,0.4054651081081644,-0.6931471805599453,0.6931471805599453,0.0,0.4054651081081644,0.4054651081081644,0.0
ENSG00000250208.6,FZD10-AS1,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.4054651081081644,0.6931471805599453,0.4054651081081644,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,-0.6931471805599453,0.6931471805599453,0.4054651081081644,0.0,0.0,0.4054651081081644,-0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.4054651081081644,0.4054651081081644,0.6931471805599453,0.0,0.4054651081081644,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.0
